Date,Odoo ID,Site ,Task Description,Priority,Assigned Tech,planned Date,Estimated Hours,Required Parts/Tools,Status,Technician note,,,,,,,,,
28-Feb-26,T2671,Client Site,IB7,Normal,Robin,2-Mar-26,2,,Done,,,,,,,,,,
28-Feb-26,T2669,48E Site,cabinet,Normal,Robin,2-Mar-26,0.5,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2-Mar-26,T2683,Workshop,Kalerm,Normal,Abu Baker,3-Mar-26,1,,Done,,,,,,,,,,
2-Mar-26,T2682,Workshop,Kalerm,Normal,Abu Baker,3-Mar-26,1,,Done,,,,,,,,,,
2-Mar-26,T2681,Workshop,Eureka,Normal,Abu Baker,3-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2684,48E Site,Giesen,Normal,"Robin, Abu Baker",3-Mar-26,3,,Done,,,,,,,,,,
3-Mar-26,T2685,48E Site,Giesen,Normal,"Robin, Abu Baker",3-Mar-26,3,,Done,,,,,,,,,,
3-Mar-26,T2686,48E Site,Iberital,Normal,Robin,3-Mar-26,1,,Done,,,,,,,,,,
28-Feb-26,T2669,48E Site,cabinet,Normal,Robin,3-Mar-26,0.5,,Done,,,,,,,,,,
3-Mar-26,T2688,Client Site,FloSmart,Normal,"Walid, Robin",3-Mar-26,1.5,,Done,,,,,,,,,,
3-Mar-26,T2687,Client Site,ECM,Normal,Walid,3-Mar-26,2,,Done,,,,,,,,,,
24-Feb-26,T2636,Client Site,Lelit Bianca,Normal,Walid,3-Mar-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3-Mar-26,T2687,Client Site,ECM,Normal,Abu Baker,4-Mar-26,3,,Done,,,,,,,,,,
2-Mar-26,T2683,Workshop,Kalerm,Normal,Abu Baker,4-Mar-26,1,,Done,,,,,,,,,,
2-Mar-26,T2682,Workshop,Kalerm,Normal,Abu Baker,4-Mar-26,1,,Done,,,,,,,,,,
2-Mar-26,T2681,Workshop,Eureka,Normal,Abu Baker,4-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2689,Workshop,Fellow Aiden,Normal,Robin,4-Mar-26,1,,Warranty,,,,,,,,,,
3-Mar-26,T2690,Workshop,Baratza Encor,Normal,Robin,4-Mar-26,0.5,,Done,,,,,,,,,,
3-Mar-26,T2691,Workshop,Eureka Pro,Normal,Robin,4-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2692,Workshop,Eureka Pro,Normal,Robin,4-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2693,Workshop,Baratza Forte,Normal,Robin,4-Mar-26,1,,Done,,,,,,,,,,
24-Feb-26,T2636,Client Site,Lelit Bianca,Normal,Walid,4-Mar-26,1,,Done,,,,,,,,,,
4-Mar-26,T2703,Client Site,Caye,Normal,Walid,4-Mar-26,2,,Done,,,,,,,,,,
4-Mar-26,T2704,Client Site,KvdW,Normal,Walid,4-Mar-26,2,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3-Mar-26,T2687,Workshop,ECM,Normal,Abu Baker,5-Mar-26,3,,Done,,,,,,,,,,
3-Mar-26,T2697,Workshop,Kalerm,Normal,Abu Baker,5-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2696,Workshop,Kalerm,Normal,Abu Baker,5-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2695,Workshop,Kalerm,Normal,Abu Baker,5-Mar-26,1,,Done,,,,,,,,,,
5-Mar-26,T2705,48E Site,Electricity,High,Robin,5-Mar-26,3,,Done,,,,,,,,,,
3-Mar-26,T2689,Workshop,Fellow Aiden,High,Robin,5-Mar-26,1,,Warranty,,,,,,,,,,
3-Mar-26,T2690,Workshop,Baratza Encor,Normal,Robin,5-Mar-26,0.5,,Done,,,,,,,,,,
3-Mar-26,T2691,Workshop,Eureka Pro,Normal,Robin,5-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2692,Workshop,Eureka Pro,Normal,Robin,5-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2693,Workshop,Baratza Forte,Normal,Robin,5-Mar-26,1,,Done,,,,,,,,,,
4-Mar-26,T2701,Client Site,ECM,Normal,Walid,5-Mar-26,2,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4-Mar-26,T2700,Workshop,ECM,Normal,Abu Baker,7-Mar-26,3,,Done,,,,,,,,,,
5-Feb-26,T2706,Workshop,Kalerm,Normal,Abu Baker,7-Mar-26,1,,Done,,,,,,,,,,
6-Mar-26,T2710,Workshop,Kalerm,Normal,Abu Baker,7-Mar-26,1,,Done,,,,,,,,,,
5-Mar-26,T2708,Workshop,Kalerm,Normal,Abu Baker,7-Mar-26,1,,Done,,,,,,,,,,
6-Mar-26,T2711,Workshop,Kalerm,Normal,Abu Baker,7-Mar-26,1,,Done,,,,,,,,,,
5-Mar-26,T2690,Workshop,Baratza,Normal,Abu Baker,7-Mar-26,0.5,,Done,,,,,,,,,,
3-Mar-26,T2689,Workshop,Fellow Aiden,Normal,Robin,7-Mar-26,1,,Warranty,,,,,,,,,,
3-Mar-26,T2694,Workshop,Fellow EKG,Normal,Robin,7-Mar-26,1,,Done,,,,,,,,,,
3-Mar-26,T2692,Workshop,Eureka Pro,Normal,Robin,7-Mar-26,1,,Done,,,,,,,,,,
4-Mar-26,T2702,Workshop,Eureka Pro,Normal,Robin,7-Mar-26,1,,Done,,,,,,,,,,
4-Mar-26,T2699,Workshop,Acaia,Normal,Robin,7-Mar-26,1,,Done,,,,,,,,,,
23-Feb-26,T2629,Workshop,Phoenix scale,Normal,Robin,7-Mar-26,0.5,,Pending,,,,,,,,,,
3-Mar-26,T2693,Workshop,Baratza Forte,Normal,Robin,7-Mar-26,1,,Done,,,,,,,,,,
4-Mar-26,T2701,Client Site,ECM,Normal,Walid,7-Mar-26,1.5,,Done,,,,,,,,,,
7-Mar-26,T2713,Client Site,KvdW,Normal,Walid,7-Mar-26,2,,Done,,,,,,,,,,
7-Mar-26,T2723,48E Site,Training center,Normal,Walid,7-Mar-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3-Mar-26,T2687,Workshop,ECM ,High,Abu Baker,8-Mar-26,3,,Done,,,,,,,,,,
7-Mar-26,T2712,Workshop,Kalerm,Normal,Abu Baker,8-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2726,Workshop,Arrange,Normal,"Robin, Abu Baker",8-Mar-26,2,,Done,,,,,,,,,,
3-Mar-26,T2686,48E Site,Iberital ,High,Robin,8-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2714,Workshop,Kalerm,Normal,Robin,8-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2715,Workshop,Fellow ODE,Normal,Robin,8-Mar-26,0.5,,Done,,,,,,,,,,
7-Mar-26,T2716,Workshop,Kalerm,Normal,Robin,8-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2724,48E Site,Wall,Normal,Walid,8-Mar-26,1,,Done,,,,,,,,,,
5-Mar-26,T2707,48E Site,Chair legs,Normal,Walid,8-Mar-26,0.25,,Done,,,,,,,,,,
8-Mar-26,T2727,48E Site,chair screws,Normal,Walid,8-Mar-26,1,,Done,,,,,,,,,,
6-Mar-26,T2709,Client Site,Iberital Tandem,Normal,Walid,9-Mar-26,1.5,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7-Mar-26,T2718,Workshop,Kalerm,Normal,Abu Baker,9-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2725,Workshop,Kalerm,Normal,Abu Baker,9-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2725,Workshop,Kalerm,Normal,Abu Baker,9-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2721,Workshop,Kalerm,Normal,Abu Baker,9-Mar-26,1,,Done,,,,,,,,,,
8-Mar-26,T2730,Workshop,Kalerm,Normal,Abu Baker,9-Mar-26,1,,Done,,,,,,,,,,
8-Mar-26,T2731,Workshop,Baratza Encor,Normal,Abu Baker,9-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2716,Workshop,Kalerm,Normal,Robin,9-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2717,Workshop,ECM,Normal,Robin,9-Mar-26,2,,Done,,,,,,,,,,
7-Mar-26,T2719,Workshop,Baratza forte,Normal,Robin,9-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2722,Workshop,ECM,Normal,Robin,9-Mar-26,3,,Done,,,,,,,,,,
8-Mar-26,T2732,48E Site,QuinSpin,High,Robin,9-Mar-26,1,,Done,,,,,,,,,,
8-Mar-26,T2738,48E Site,Bakery,Normal,Walid,9-Mar-26,2,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8-Mar-26,T2733,Workshop,Kalerm,Normal,Abu Baker,10-Mar-26,1,,Done,,,,,,,,,,
9-Mar-26,T2742,Workshop,Kalerm,Normal,Abu Baker,10-Mar-26,1,,Done,,,,,,,,,,
9-Mar-26,T2741,Workshop,Fellow,Normal,Abu Baker,10-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2759,Workshop,Kalerm,Normal,Abu Baker,11-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2750,Workshop,Fellow ODE,Normal,Abu Baker,11-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2745,Workshop,Fellow ODE,Normal,Abu Baker,11-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2759,Workshop,Kalerm,Normal,Abu Baker,11-Mar-26,1,,Done,,,,,,,,,,
7-Mar-26,T2717,Workshop,ECM,Normal,Robin,11-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2757,48E Site,Electricity,Normal,Robin,11-Mar-26,6,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11-Mar-26,T2773,Workshop,Kalerm,Normal,Abu Baker,12-Mar-26,1,,Done,,,,,,,,,,
11-Mar-26,T2763,Workshop,Fellow ODE,Normal,Abu Baker,12-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2758,Workshop,ECM,Normal,Abu Baker,12-Mar-26,3,,Done,,,,,,,,,,
11-Mar-26,T2766,Workshop,Fellow ODE,Normal,Abu Baker,12-Mar-26,1,,Done,,,,,,,,,,
11-Mar-26,T2764,Workshop,Fellow ODE,Normal,Abu Baker,12-Mar-26,1,,Done,,,,,,,,,,
11-Mar-26,T2765,Workshop,Fellow ODE,Normal,Abu Baker,12-Mar-26,1,,Warranty,,,,,,,,,,
8-Mar-26,T2728,Workshop,ECM,Normal,Abu Baker,12-Mar-26,1,,Done,,,,,,,,,,
23-Feb-26,T2627,Workshop,Baratza,Normal,Robin,12-Mar-26,1,,Done,,,,,,,,,,
12-Mar-26,T2776,Workshop,Eureka Helios,Normal,Robin,12-Mar-26,1,,Done,,,,,,,,,,
24-Feb-26,T2640,Workshop,Baratza Forte,Normal,Robin,12-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2760,Workshop,ECM,Normal,Robin,12-Mar-26,1.5,,Done,,,,,,,,,,
7-Mar-26,T2722,Workshop,ECM,Normal,Robin,12-Mar-26,2,,Done,,,,,,,,,,
8-Mar-26,T2739,Workshop,ECM,Normal,Robin,12-Mar-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12-Mar-26,T2779,48E Site,Fellow EKG,Normal,Robin,14-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2757,48E Site,Electricity,High,Robin,14-Mar-26,6,,Done,,,,,,,,,,
11-Mar-26,T2772,Workshop,Scale,Normal,Robin,14-Mar-26,0.5,,Warranty,,,,,,,,,,
11-Mar-26,T2771,Workshop,WDT,Normal,Robin,14-Mar-26,0.5,,Done,,,,,,,,,,
8-Mar-26,T2734,Workshop,Baratza Forte,Normal,Robin,14-Mar-26,1,,Done,,,,,,,,,,
8-Mar-26,T2735,Workshop,Baratza Forte,Normal,Robin,14-Mar-26,1,,Done,,,,,,,,,,
8-Mar-26,T2736,Workshop,Baratza Forte,Normal,Robin,14-Mar-26,1,,Waiting spare parts,,,,,,,,,,
8-Mar-26,T2737,Workshop,Baratza Forte,Normal,Robin,14-Mar-26,0.25,,Done,,,,,,,,,,
9-Mar-26,T2744,Workshop,Baratza Forte,Normal,Robin,14-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2761,Workshop,Flojet,Normal,Robin,14-Mar-26,0.5,,Done,,,,,,,,,,
9-Mar-26,T2743,Workshop,Baratza Forte,Normal,Robin,14-Mar-26,0.5,,Done,,,,,,,,,,
10-Mar-26,T2746,Workshop,IB7,Normal,Abu Baker,14-Mar-26,2,,Done,,,,,,,,,,
10-Mar-26,T2747,Workshop,IB7,Normal,Abu Baker,14-Mar-26,2,,Done,,,,,,,,,,
10-Mar-26,T2751,Workshop,Eureka,Normal,Abu Baker,14-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2752,Workshop,Eureka,Normal,Abu Baker,14-Mar-26,1,,Done,,,,,,,,,,
12-Mar-26,T2777,Client Site,Kalerm Y,Normal,Walid,14-Mar-26,1.5,,Done,,,,,,,,,,
13-Mar-26,T2782,Workshop,ECM,Normal,Walid,14-Mar-26,0.5,,Done,,,,,,,,,,
11-Mar-26,T2767,Client Site,Site inspection,Normal,Walid,14-Mar-26,1.5,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12-Mar-26,T2779,48E Site,Fellow EKG,Normal,Robin,15-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2757,48E Site,Electricity,High,Robin,15-Mar-26,6,,Done,,,,,,,,,,
17-Mar-26,T2796,48E Site,Bakery,Normal,Robin,15-Mar-26,1,,Done,,,,,,,,,,
17-Mar-26,T2797,48E Site,Bakery,Normal,Robin,15-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2748,Workshop,IB7,Normal,Abu Baker,15-Mar-26,2,,Done,,,,,,,,,,
10-Mar-26,T2749,Workshop,IB7,Normal,Abu Baker,15-Mar-26,2,,Done,,,,,,,,,,
10-Mar-26,T2753,Workshop,Eureka,Normal,Abu Baker,15-Mar-26,1,,Done,,,,,,,,,,
10-Mar-26,T2754,Workshop,Eureka,Normal,Abu Baker,15-Mar-26,1,,Done,,,,,,,,,,
15-Mar-26,T2788,Client Site,Giesen,Normal,Walid,15-Mar-26,2,,Done,,,,,,,,,,
12-Mar-26,T2777,Client Site,Kalerm Y,Normal,Walid,15-Mar-26,1.5,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17-Mar-26,T2801,Workshop,KvdW,High,Robin,16-Mar-26,6,,Done,,,,,,,,,,
14-Mar-26,T2784,Workshop,Fellow,Normal,Robin,16-Mar-26,0.5,,Done,,,,,,,,,,
17-Mar-26,T2799,48E Site,Bakery,High,"Robin, Abu Baker",16-Mar-26,1,,Done,,,,,,,,,,
17-Mar-26,T2798,48E Site,Bakery,High,"Robin, Abu Baker",16-Mar-26,1,,Done,,,,,,,,,,
13-Mar-26,T2781,Workshop,Kalerm,Normal,Abu Baker,16-Mar-26,1,,Done,,,,,,,,,,
17-Mar-26,T2795,Client Site,3Temp,Normal,Walid,16-Mar-26,1,,Done,,,,,,,,,,
17-Mar-26,T2794,48E Site,Coded,Normal,Walid,16-Mar-26,1.5,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17-Mar-26,T2800,48E Site,bakery,High,Robin,17-Mar-26,2,,Done,,,,,,,,,,
17-Mar-26,T2801,Workshop,KvdW,High,Robin,17-Mar-26,3,,Done,,,,,,,,,,
12-Mar-26,T2778,Workshop,ECM,High,Abu Baker,17-Mar-26,3,,Done,,,,,,,,,,
12-Mar-26,T2775,Workshop,Kalerm,Normal,Abu Baker,17-Mar-26,1,,Done,,,,,,,,,,
15-Mar-26,T2787,Workshop,Kalerm,Normal,Abu Baker,17-Mar-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17-Mar-26,T2810,Workshop,Fellow OPUS,Normal,Abu Baker,18-Mar-26,0.5,,Done,,,,,,,,,,
17-Mar-26,T2811,Workshop,Fellow Aiden,Normal,Abu Baker,18-Mar-26,1,,Done,,,,,,,,,,
14-Jan-26,T2345,Workshop,Eureka SD,Normal,Abu Baker,18-Mar-26,0.5,,Done,,,,,,,,,,
11-Mar-26,T2762,Workshop,Baratza forte,Normal,Abu Baker,18-Mar-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
18-Mar-26,T2815,Workshop,Kalerm,Normal,Abu Baker,19-Mar-26,1,,Done,,,,,,,,,,
11-Mar-26,T2770,Workshop,Baratza forte,Normal,Abu Baker,19-Mar-26,1,,Done,,,,,,,,,,
19-Mar-26,T2820,Workshop,Kalerm,Normal,Abu Baker,19-Mar-26,1,,Done,,,,,,,,,,
18-Feb-26,T2585,Workshop,Baratza forte,Normal,Robin,19-Mar-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23-Mar-26,T2834,48E Site,Giesen,High,Abu Baker,22-Mar-26,3,,Done,,,,,,,,,,
23-Feb-26,T2835,48E Site,Giesen,High,Robin,22-Mar-26,3,,Done,,,,,,,,,,
19-Mar-26,T2819,48E Site,QuinSpin,Normal,Robin,22-Mar-26,1,,Done,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
